start,stop,qid,src,dur,pid
62.328,63.178,UNK:how are you doing today,unmatched,0.8499999999999943,300
68.978,70.288,where_originally,matched,1.3100000000000023,300
75.028,78.128,UNK:why'd you move to l a,unmatched,3.0999999999999943,300
83.808,84.588,UNK:how do you like l a,unmatched,0.7799999999999869,300
88.458,89.968,like_about_la,matched,1.5100000000000051,300
90.278,93.568,like_about_la,matched,3.289999999999992,300
94.738,95.298,like_about_la,matched,0.5600000000000023,300
96.588,97.278,like_about_la,matched,0.6900000000000119,300
102.428,103.268,adapted_la,matched,0.8400000000000034,300
104.278,105.558,adapted_la,matched,1.2800000000000011,300
107.738,108.798,adapted_la,matched,1.0600000000000023,300
114.038,115.558,dont_like_la,matched,1.5200000000000102,300
120.268,121.158,dont_like_la,matched,0.8900000000000006,300
128.488,132.628,UNK:what'd you study at school,unmatched,4.139999999999986,300
136.748,139.418,still_doing_x,matched,2.670000000000016,300
139.868,144.548,still_doing_x,matched,4.680000000000007,300
149.258,152.168,dream_job,matched,2.9099999999999966,300
161.248,162.068,UNK:do you travel a lot,unmatched,0.8200000000000216,300
165.608,168.968,why2,matched,3.359999999999985,300
169.518,170.978,why2,matched,1.460000000000008,300
171.308,172.978,why2,matched,1.670000000000016,300
178.578,179.918,often_backb,matched,1.3400000000000034,300
189.098,191.068,UNK:do you consider yourself an introvert,unmatched,1.9699999999999989,300
196.868,197.998,mind,matched,1.1299999999999955,300
203.318,206.358,UNK:what do you do to relax,unmatched,3.039999999999992,300
206.728,208.658,UNK:what do you do to relax,unmatched,1.9299999999999784,300
217.728,219.868,control_temper,matched,2.1399999999999864,300
220.228,221.058,control_temper,matched,0.8299999999999841,300
221.358,222.068,control_temper,matched,0.710000000000008,300
227.998,230.118,last_argument,matched,2.1200000000000045,300
231.088,232.368,last_argument,matched,1.2800000000000011,300
238.298,240.168,describe_felt,matched,1.8700000000000045,300
244.748,245.808,more,matched,1.0600000000000023,300
246.338,247.918,more,matched,1.5800000000000125,300
248.488,252.298,more,matched,3.8100000000000023,300
260.238,261.168,how_close,matched,0.9300000000000068,300
266.918,267.988,how_know,matched,1.0699999999999932,300
279.618,285.988,do_fun,matched,6.3700000000000045,300
286.918,288.078,do_fun,matched,1.1599999999999682,300
294.678,295.778,influence_positive,matched,1.1000000000000227,300
296.648,297.618,influence_positive,matched,0.9699999999999704,300
305.218,309.358,tell_about_that,matched,4.139999999999986,300
310.538,312.208,tell_about_that,matched,1.670000000000016,300
316.868,318.008,family_roleb,matched,1.1399999999999864,300
325.738,333.468,regret,matched,7.730000000000018,300
336.988,339.728,why2,matched,2.740000000000009,300
340.568,344.168,why2,matched,3.6000000000000227,300
344.788,346.068,why2,matched,1.2799999999999727,300
349.998,351.988,change_directions,matched,1.990000000000009,300
357.818,360.198,avoid,matched,2.3799999999999955,300
372.098,373.218,memorableb,matched,1.1200000000000045,300
373.588,375.488,memorableb,matched,1.8999999999999773,300
386.728,390.328,love_hear,matched,3.599999999999966,300
